"vessel_names";"volume";"product";"group";"family";"start_date";"end_date";"origin";"destination"
"Aurora Borealis";370048;"crude";"crude/co";"Dirty";"2018-01-08";"2018-02-20";"Estonia";"Netherlands"
"SKS Mosel";1049241;"crude";"crude/co";"Dirty";"2017-10-02";"2017-11-05";"Canada";"United States"
"Almi Star";384238;"crude";"crude/co";"Dirty";"2019-09-19";"2019-09-26";"Greece";"Ukraine"
"Silver Ervilia";769577;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-02-04";NA;"Bahrain";NA
"Saint Nicholas";275713;"crude";"crude/co";"Dirty";"2014-01-08";"2014-02-19";"Spain";"Belgium"
"Ft Island";95932;"RFO";"Fuel Oils";"DPP";"2018-07-20";"2018-07-21";"United Arab Emirates";"Taiwan"
"New Solution";172711;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-05-13";"2016-05-15";"Singapore Republic";"Singapore Republic"
"Palanca Maputo";172705;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-05-16";"2018-05-19";"Ecuador";"Panama"
"Khuzama";430921;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-10-05";NA;"Greece";NA
"Badr";71282;"crude";"crude/co";"Dirty";"2017-11-09";"2017-12-07";"Canada";"United States"
"Polar Rock";1021075;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2014-06-28";"2014-07-22";"Norway";"Netherlands"
"Bag Meur";87264;NA;"crude/co";"Dirty";"2016-02-24";"2016-03-02";"Saudi Arabia";"United States"
"Proteas";592204;NA;"crude/co";"Dirty";"2017-07-29";"2017-08-04";"Angola";"Portugal"
"Saetta";754984;"RFO";"Fuel Oils";"DPP";"2017-08-04";"2017-08-11";"United Arab Emirates";"Singapore Republic"
"Blue Pride";175768;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-12-19";"2020-01-03";"Nigeria";"Spain"
"Nor'Easter";765784;"crude";"crude/co";"Dirty";"2014-12-24";"2015-01-18";"Malaysia";"China"
"Maza";125771;NA;"Gasoline/Naphtha";"Light Ends";"2019-02-08";"2019-02-24";"Brazil";"Portugal"
"Sao Luiz";113235;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-02-20";"2020-02-29";"China";"Singapore Republic"
"Lian Ping Hu";955264;NA;"Kero/Jet";"Middle Distillates";"2019-11-11";"2019-11-15";"Norway";"Togo"
"Rn Privodino";740530;"crude";"crude/co";"Dirty";"2018-02-09";"2018-02-23";"India";"Sudan"
"Chang Hang Xing Yun";1049895;"crude";"crude/co";"Dirty";"2016-01-12";"2016-01-28";"Russian Federation";"China"
"Jag Leela";509638;"crude";"crude/co";"Dirty";"2019-04-21";"2019-05-09";"Indonesia";"Indonesia"
"Krisjanis Valdemars";279758;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2014-06-17";"2014-06-21";"Russian Federation";"Malaysia"
"Apama";160591;"crude";"crude/co";"Dirty";"2019-04-03";NA;"Saudi Arabia";NA
"Hafnia Sunda";727164;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-11-11";"2017-11-17";"Nigeria";"Denmark"
"Largo Elegance";232572;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-08-21";"2017-08-28";"United States";"Brazil"
"Sara";328032;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-06-08";"2018-06-11";"Algeria";"United Kingdom"
"Poliegos";765784;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-07-18";"2019-07-31";"Russian Federation";"Russian Federation"
"Sti Westminster";882781;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2020-04-09";"2020-04-27";"Russian Federation";"France"
"Punta Piramides";722152;NA;"Kero/Jet";"Middle Distillates";"2020-05-12";NA;"South Africa";NA
"Barbarosa";239;"FO";"Fuel Oils";"DPP";"2018-06-04";"2018-06-25";"Taiwan";"Singapore Republic"
"Sti Camden";87176;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-09-17";"2016-09-20";"Netherlands";"Togo"
"Taihua Spirit";96737;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-09-04";NA;"Denmark";NA
"Afra Hawthorn";2064403;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2017-06-29";"2017-07-07";"China";"Indonesia"
"Baltic Sapphire";298457;"crude";"crude/co";"Dirty";"2018-08-02";"2018-09-12";"United Arab Emirates";"Singapore Republic"
"Sanmar Sangeet";360664;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-08-26";"2017-09-17";"Norway";"Netherlands"
"Xin Han Yang";1042668;"crude";"crude/co";"Dirty";"2019-11-05";"2019-11-23";"Malaysia";"Singapore Republic"
"San Felix";154295;"crude";"crude/co";"Dirty";"2016-09-03";"2016-09-07";"Saudi Arabia";"Brazil"
"New Tinos";1076469;"crude";"crude/co";"Dirty";"2017-10-07";NA;"France";NA
"Maria Bottiglieri";989563;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-06-30";"2018-07-02";"Iraq";"United States"
"Makronissos";513657;"crude";"crude/co";"Dirty";"2017-05-30";"2017-06-05";"United States";"United States"
"Ocean Sedna";115304;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2015-07-21";"2015-08-08";"Saudi Arabia";"United States"
"Stena Supreme";471031;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-08-09";"2018-08-17";"China";"China"
"Oman Pride";501027;"crude";"crude/co";"Dirty";"2020-09-01";"2020-09-13";"United Kingdom";"Norway"
"Eurobrave";33663;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-03-10";"2020-04-08";"United States";"United States"
"Anhona";1037365;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-05-15";NA;"Malaysia";NA
"Navion Stavanger";76062;"crude";"crude/co";"Dirty";"2015-05-02";"2015-05-08";"South Korea";"Vietnam"
"Santa Marina";1036258;"crude";"crude/co";"Dirty";"2019-11-11";"2019-12-19";"Nigeria";"France"
"Spectrum";246937;NA;"Fuel Oils";"DPP";"2017-06-04";"2017-07-01";"Angola";"Indonesia"
"Blue Prince";478434;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-02-25";"2017-03-02";"Malaysia";"China"
"Oriental Gold";496442;"crude";"crude/co";"Dirty";"2017-09-23";"2017-10-23";"United States";"Ecuador"
"Afroditi";54432;"VGO";"Fuel Oils";"DPP";"2018-11-15";"2018-11-20";"South Korea";"New Zealand"
"Sti Grace";236088;"FO";"Fuel Oils";"DPP";"2013-11-26";"2013-12-18";"Saudi Arabia";"United States"
"Kriti Journey";437959;"crude";"crude/co";"Dirty";"2018-10-13";"2018-12-14";"Kuwait";"Netherlands"
"Jag Prakash";73748;"crude";"crude/co";"Dirty";"2018-01-09";"2018-01-17";"United Kingdom";"Netherlands"
"Atlantik Miracle";279808;"crude";"crude/co";"Dirty";"2019-02-18";"2019-02-24";"South Korea";"Taiwan"
"Ardmore Sealifter";386024;"crude";"crude/co";"Dirty";"2016-05-20";"2016-06-18";"Libya";"Singapore Republic"
"Krymsk";690640;"Blending Comps";"Blendings";"Light Ends";"2016-11-14";"2017-01-03";"India";"India"
"Trf Moss";345411;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2014-03-25";"2014-04-30";"Brazil";"Brazil"
"Nusa Merdeka";47129;"crude";"crude/co";"Dirty";"2018-01-29";"2018-02-07";"Italy";"Saudi Arabia"
"Vergios";878699;NA;"Gasoline/Naphtha";"Light Ends";"2019-11-29";"2019-12-19";"Egypt";"United States"
"Sao Sebastiao";149974;"crude";"crude/co";"Dirty";"2020-03-06";"2020-04-02";"Canada";"United States"
"D&K Yusuf I. Al-Ghanim";999998;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-08-23";"2020-08-28";"Russian Federation";"Italy"
"Artemis";260001;"crude";"crude/co";"Dirty";"2019-02-18";"2019-02-18";"United Arab Emirates";"Japan"
"Serena M";161383;"crude";"crude/co";"Dirty";"2019-06-06";"2019-06-12";"Venezuela";"Venezuela"
"Fpmc C Knight";87472;"crude";"crude/co";"Dirty";"2016-03-10";"2016-03-11";"United States";"Spain"
"Nordic Spirit";49871;NA;"Gasoil/Diesel";"Middle Distillates";"2018-09-02";NA;"Indonesia";NA
"Eagle Kangar";329177;"crude";"crude/co";"Dirty";"2017-03-16";"2017-03-21";"United States";"Mexico"
"Zaliv Aniva";161497;"crude";"crude/co";"Dirty";"2013-03-15";"2013-04-13";"United States";"United States"
"Universal Partner";343757;"crude";"crude/co";"Dirty";"2018-09-20";"2018-10-12";"United Arab Emirates";"Taiwan"
"Hakkaisan";286739;"crude";"crude/co";"Dirty";"2019-06-27";"2019-07-03";"Cyprus";"Libya"
"Sestrea";45380;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2020-07-24";"2020-07-29";"Finland";"United States"
"Solviken";139960;NA;"crude/co";"Dirty";"2017-09-07";"2017-09-10";"Gabon";"China"
"Ce-Hamilton";625509;"crude";"crude/co";"Dirty";"2018-08-31";NA;"Russian Federation";NA
"Ft Quarto";163780;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-10-25";"2018-11-16";"Nigeria";"Netherlands"
"Amazon Gladiator";132488;"FO";"Fuel Oils";"DPP";"2018-09-19";"2018-10-27";"Algeria";"Netherlands"
"Fso Benchamas 2";170504;"crude";"crude/co";"Dirty";"2016-02-22";"2016-03-28";"France";"Ghana"
"Captain A. Stellatos";643435;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-06-04";"2020-06-07";"Brazil";"Brazil"
"Burgan";79930;"crude";"crude/co";"Dirty";"2018-03-16";"2018-04-07";"United Arab Emirates";"India"
"Bunga Kelana 8";273845;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-12-04";"2018-12-16";"Netherlands";"Canada"
"Stena Perros";15120;"crude";"crude/co";"Dirty";"2019-04-04";NA;"Brazil";NA
"Eagle Kuching";55237;"crude";"crude/co";"Dirty";"2019-03-30";"2019-04-03";"United States";"Peru"
"Chiberta";526608;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-12-17";"2017-12-21";"United States";"Colombia"
"Scf Provider";409089;"FO";"Fuel Oils";"DPP";"2013-12-22";"2014-01-05";"Russian Federation";"Russian Federation"
"Elka Eleftheria";255938;"crude";"crude/co";"Dirty";"2018-03-03";"2018-03-27";"Finland";"Netherlands"
"Nevskiy Prospect";1000004;"crude";"crude/co";"Dirty";"2019-11-08";"2019-11-11";"Tunisia";"Germany"
"Jag Leela";2058265;NA;"crude/co";"Dirty";"2013-11-24";"2013-12-11";"Puerto Rico";"Dominican Republic"
"Atlantic Mirage";718176;"FO";"Fuel Oils";"DPP";"2019-05-12";"2019-07-03";"Russian Federation";"South Korea"
"Sti Gramercy";166057;"crude";"crude/co";"Dirty";"2020-05-30";"2020-06-08";"United States";"Japan"
"Polar Adventure";36153;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2015-07-23";"2015-07-25";"Nigeria";"Italy"
"Atalanta T";887007;"VGO";"Fuel Oils";"DPP";"2016-01-02";"2016-01-26";"Iraq";"India"
"Queen Majesty";2072907;"crude";"crude/co";"Dirty";"2017-02-11";"2017-03-03";"Algeria";"China"
"Jing Gang San";29864;"FO";"Fuel Oils";"DPP";"2014-05-02";"2014-06-26";"Russian Federation";"Finland"
"Celsius Everett";196858;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-05-28";"2016-07-01";"Iran";"United Arab Emirates"
"Castillo De Trujillo";4258;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-06-11";"2018-07-12";"Netherlands";"Netherlands"
"Stavanger Blossom";2118766;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-03-01";"2019-03-08";"Russian Federation";"United Kingdom"
"San Julian";310232;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-07-09";"2017-07-11";"Mexico";"Peru"
"Navig8 Amber";345417;"FO";"Fuel Oils";"DPP";"2016-12-26";"2017-01-04";"South Korea";"Taiwan"
"Phoenix Admiral";729;"crude";"crude/co";"Dirty";"2018-01-11";"2018-01-18";"Kuwait";"United Arab Emirates"
"Mersini";999998;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2015-02-01";NA;"Italy";NA
"Maersk Trenton";329900;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-02-29";NA;"Italy";NA
"Amelia Pacific";56602;"Kerosene";"Kero/Jet";"Middle Distillates";"2016-12-13";"2016-12-28";"Nigeria";"France"
"Perfect";80352;"crude";"crude/co";"Dirty";"2020-07-17";"2020-07-22";"Iraq";"China"
"Apollo Dream";742021;"FO";"Fuel Oils";"DPP";"2017-10-13";"2017-10-16";"Japan";"China"
"Sea Gem";77414;"crude";"crude/co";"Dirty";"2017-07-20";"2017-07-28";"Russian Federation";"Italy"
"Baltic Sun Ii";491284;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-09-25";"2017-10-15";"Qatar";"South Korea"
"Stena Impression";324698;NA;"crude/co";"Dirty";"2018-12-27";"2018-12-31";"Venezuela";"Curacao"
"Thomas Zafiras";513456;NA;"crude/co";"Dirty";"2019-06-22";"2019-07-18";"United States";"Canada"
"Delta Captain";734807;"crude";"crude/co";"Dirty";"2019-06-05";"2019-06-22";"Mexico";"Spain"
"Kyo-Ei";624722;"Jet";"Kero/Jet";"Middle Distillates";"2015-04-25";"2015-06-03";"Canada";"United States"
"Maersk Timaru";446192;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-10-07";"2017-10-11";"Italy";"Italy"
"Stealth Berana";180165;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-06-22";"2020-07-14";"United Arab Emirates";"Thailand"
"New Century";12321;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-03-15";"2020-03-16";"Thailand";"Japan"
"Great Eastern";133167;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-02-11";"2019-02-25";"United States";"United States"
"Apolytares";494530;"Jet";"Kero/Jet";"Middle Distillates";"2014-07-07";NA;"Denmark";NA
"Chem Barcelona";6;"crude";"crude/co";"Dirty";"2018-11-12";"2018-11-25";"Angola";"China"
"Pacific Sky";155936;NA;"Gasoil/Diesel";"Middle Distillates";"2017-03-20";"2017-04-30";"Mexico";"India"
"Galissas";251082;"crude";"crude/co";"Dirty";"2019-11-16";"2019-11-29";"United Arab Emirates";"United Arab Emirates"
"St Pauli";819763;"crude";"crude/co";"Dirty";"2016-05-17";"2016-06-07";"Russian Federation";"Italy"
"Anwaar Libya";44833;"crude";"crude/co";"Dirty";"2018-04-29";NA;"Singapore Republic";NA
"Minerva Kythnos";441116;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-12-21";"2017-01-28";"Angola";"Spain"
"Karan";154672;"VGO";"Fuel Oils";"DPP";"2019-04-02";"2019-04-10";"South Africa";"Puerto Rico"
"Patnos";807385;"crude";"crude/co";"Dirty";"2018-01-12";"2018-02-21";"Italy";"United States"
"Kirill Lavrov";261215;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-11-28";"2013-12-27";"United States";"Mexico"
"Delta Poseidon";1498578;"crude";"crude/co";"Dirty";"2016-01-17";"2016-02-04";"France";"Ghana"
"Sti Battersea";357531;"crude";"crude/co";"Dirty";"2013-08-15";"2013-08-21";"Norway";"Netherlands"
"Olympic Liberty";709446;"FO";"Fuel Oils";"DPP";"2017-06-25";"2017-08-10";"Japan";"China"
"Stav Viking";526803;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-04-19";"2020-09-01";"Algeria";"Belgium"
"Global Themis";2109420;"crude";"crude/co";"Dirty";"2018-12-01";"2018-12-08";"Saudi Arabia";"Indonesia"
"Horizon Armonia";345323;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-01-04";"2017-02-25";"Malaysia";"China"
"Seajewel";73188;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2020-06-28";"2020-06-29";"United States";"Mexico"
"Luna Lake";372092;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2014-03-26";"2014-03-31";"Italy";"Slovenia"
"Matuku";49959;"crude";"crude/co";"Dirty";"2015-08-03";"2015-08-06";"United Kingdom";"Malaysia"
"San Ramon Voyager";854414;"condensate";"crude/co";"Dirty";"2018-03-16";"2018-03-20";"United Arab Emirates";"Singapore Republic"
"Sti Carnaby";829997;"crude";"crude/co";"Dirty";"2018-08-18";"2018-09-05";"Russian Federation";"Turkey"
"Savvy";315000;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-05-08";"2017-05-28";"Russian Federation";"Italy"
"V. Excellence";414511;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2014-09-06";"2014-10-16";"United States";"United States"
"Nissos Kythnos";345404;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-05-23";"2019-06-17";"Russian Federation";"India"
"Blue Power";2047993;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-10-16";"2019-10-31";"Turkey";"Turkey"
"Radiant Star";280173;"crude";"crude/co";"Dirty";"2015-04-25";"2015-04-26";"Indonesia";"Singapore Republic"
"Prem";64074;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2015-06-30";"2015-07-07";"Russian Federation";"Netherlands"
"Sten Suomi";605821;"crude";"crude/co";"Dirty";"2019-03-30";"2019-04-01";"Angola";"China"
"Briolette";1002721;"crude";"crude/co";"Dirty";"2019-05-12";"2019-06-18";"United States";"Chile"
"Minerva Zenia";270851;"crude";"crude/co";"Dirty";"2014-07-17";"2014-08-15";"Singapore Republic";"China"
"Conti Benguela";65162;"crude";"crude/co";"Dirty";"2017-12-24";"2018-01-18";"Italy";"United States"
"Sw Cap Ferrat I";134847;"crude";"crude/co";"Dirty";"2017-08-21";"2017-09-14";"United States";"Colombia"
"Demeter";1077777;"crude";"crude/co";"Dirty";"2017-12-23";"2017-12-28";"Dominican Republic";"Jamaica"
"Montestena";516707;"crude";"crude/co";"Dirty";"2018-10-07";"2018-10-21";"Sudan";"China"
"Great Eastern";407183;"crude";"crude/co";"Dirty";"2016-10-02";"2016-10-06";"Saudi Arabia";"United States"
"Liv Knutsen";43330;"FO";"Fuel Oils";"DPP";"2020-05-08";"2020-05-19";"Brazil";"Brazil"
"Thun Venern";162994;"crude";"crude/co";"Dirty";"2014-04-29";"2014-06-08";"United Arab Emirates";"Japan"
"Adisa";82987;"crude";"crude/co";"Dirty";"2019-10-21";"2019-11-08";"Finland";"United States"
"Ship 115";94064;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-12-17";"2016-12-26";"United States";"Ecuador"
"Erik Spirit";1950401;"crude";"crude/co";"Dirty";"2020-01-06";"2020-01-08";"Russian Federation";"Belgium"
"Hafnia Soya";164308;"crude";"crude/co";"Dirty";"2019-11-08";NA;"Sweden";NA
"Chicontepec";170642;"crude";"crude/co";"Dirty";"2020-04-03";"2020-04-08";"Iran";"India"
"Stena Arctica";147521;"FO";"Fuel Oils";"DPP";"2018-05-31";NA;"Spain";NA
"Luna Lake";173114;"RFO";"Fuel Oils";"DPP";"2020-06-26";"2020-06-29";"France";"United Kingdom"
"Henning Maersk";722152;"Jet";"Kero/Jet";"Middle Distillates";"2018-10-17";NA;"Netherlands";NA
"Hojo";1002186;"crude";"crude/co";"Dirty";"2019-03-07";"2019-03-14";"Turkey";"Netherlands"
"Kirill Lavrov";708842;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-03-16";"2019-04-17";"Saudi Arabia";"Japan"
"High Freedom";350046;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-08-15";"2019-09-16";"United Kingdom";"United Kingdom"
"Red Nova";70791;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-09-16";"2019-10-02";"Kuwait";"India"
"Navig8 Honor";1008923;"crude";"crude/co";"Dirty";"2016-11-08";"2016-11-10";"United States";"Costa Rica"
"Astro Chloe";902499;"crude";"crude/co";"Dirty";"2014-04-06";"2014-05-12";"United States";"Brazil"
"San Sebastian";43839;"crude";"crude/co";"Dirty";"2018-06-14";"2018-06-20";"United Arab Emirates";"Somalia"
"La Noumbi";199192;"crude";"crude/co";"Dirty";"2016-06-23";"2016-07-14";"Greece";"Turkey"
"Negra Hipolita";109587;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2014-06-23";"2014-07-07";"Belgium";"France"
"Advantage Pretty";95680;NA;"Kero/Jet";"Middle Distillates";"2019-04-09";"2019-04-10";"France";"Spain"
"Chemtrans Nova";55985;NA;"Gasoline/Naphtha";"Light Ends";"2016-08-13";"2016-09-08";"India";"India"
"Torm Ismini";340524;"crude";"crude/co";"Dirty";"2020-07-01";"2020-07-13";"Brazil";"China"
"Sti Kingsway";159817;"Blending Comps";"Blendings";"Light Ends";"2016-09-29";"2016-10-21";"United States";"Canada"
"Lake Trout";35090;"FO";"Fuel Oils";"DPP";"2017-03-04";"2017-04-18";"South Korea";"New Zealand"
"Enisey";599997;"FO";"Fuel Oils";"DPP";"2018-09-03";"2018-09-09";"Mexico";"United States"
"Xin Jin Yang";608180;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-05-28";"2019-06-01";"United Arab Emirates";"South Africa"
"Xanthos";345423;"crude";"crude/co";"Dirty";"2019-03-15";"2019-03-18";"United Arab Emirates";"Malaysia"
"Takasago";2074146;"crude";"crude/co";"Dirty";"2019-11-12";"2019-11-19";"Saudi Arabia";"United Arab Emirates"
"Nave Photon";190034;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-12-31";"2017-01-13";"Brazil";"Brazil"
"Minerva Julie";222967;"crude";"crude/co";"Dirty";"2018-06-09";"2018-06-14";"India";"India"
"Omega Trader";164333;"crude";"crude/co";"Dirty";"2018-12-16";"2018-12-20";"Saudi Arabia";"India"
"Bunga Kasturi Tiga";261442;"crude";"crude/co";"Dirty";"2013-08-30";"2013-09-24";"Iraq";"India"
"Afra Royal";30813;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-10-25";"2019-11-06";"Russian Federation";"Lithuania"
"Ocean Stellar";48374;"crude";"crude/co";"Dirty";"2019-09-17";NA;"Venezuela";NA
"Kiho";139558;NA;"Blendings";"Light Ends";"2015-07-04";NA;"Singapore Republic";NA
"Ferni H.";518859;"crude";"crude/co";"Dirty";"2019-06-10";"2019-08-01";"United States";"Curacao"
"Bastille Street";346612;NA;"Kero/Jet";"Middle Distillates";"2020-04-28";"2020-05-22";"Russian Federation";"Turkey"
"Solando";335756;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2014-12-12";"2014-12-18";"Turkey";"Italy"
"Fpmc C Knight";99643;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-05-25";NA;"Saudi Arabia";NA
"Nordic Jupiter";320069;"crude";"crude/co";"Dirty";"2017-05-20";"2017-05-26";"Russian Federation";"Netherlands"
"Seatrust";734266;"Blending Comps";"Blendings";"Light Ends";"2016-10-25";"2016-12-21";"Algeria";"United Kingdom"
"Lillesand";1549255;"condensate";"crude/co";"Dirty";"2017-10-03";"2017-10-23";"Colombia";"Bahamas"
"Sea Rider";131010;"FO";"Fuel Oils";"DPP";"2019-09-26";"2019-12-06";"Canada";"United States"
"Ridgebury Lessley B";370488;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-04-01";"2013-04-06";"Saudi Arabia";"Kuwait"
"Ice Victory";274185;"FO";"Fuel Oils";"DPP";"2018-09-15";"2018-09-20";"United States";"Ecuador"
"Hai Xin You 612";499807;"crude";"crude/co";"Dirty";"2017-12-09";"2018-01-08";"Brunei";"Singapore Republic"
"Atlantic Dawn";2079751;"FO";"Fuel Oils";"DPP";"2018-12-20";"2019-01-01";"United States";"Ireland"
"Violando";63885;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-03-25";"2018-03-30";"United Arab Emirates";"United States"
"Ads Stratus";194946;NA;"Gasoline/Naphtha";"Light Ends";"2020-01-10";"2020-01-11";"Nigeria";"Italy"
"Confidence";27846;"crude";"crude/co";"Dirty";"2014-11-06";"2014-11-07";"Russian Federation";"Netherlands"
"Maersk Miyajima";110423;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-07-17";"2016-08-03";"Vietnam";"China"
"Santa Cruz I";319214;NA;"crude/co";"Dirty";"2019-04-04";"2019-05-21";"Canada";"China"
"King Philippos";718176;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-07-27";"2020-08-02";"Argentina";"Argentina"
"Brightway";408862;"RFO";"Fuel Oils";"DPP";"2020-03-07";"2020-03-08";"Kuwait";"Djibouti"
"Songa Pearl";3283;NA;"crude/co";"Dirty";"2019-10-11";"2019-11-13";"United States";"Mexico"
"Quay Star";176793;NA;"crude/co";"Dirty";"2020-01-08";"2020-01-31";"Panama";"United States"
"Akane";27970;"crude";"crude/co";"Dirty";"2013-07-30";"2013-07-31";"Netherlands";"Ireland"
"Antikeros";533074;"crude";"crude/co";"Dirty";"2019-11-10";"2019-11-17";"China";"Bangladesh"
"Harbour Feature";82333;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2015-08-26";"2015-09-12";"Indonesia";"India"
"Recoleta";139929;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-04-10";"2016-04-14";"Panama";"United States"
